ID,User Query,Intent,Bot Response,Procedure/Form,Policy/Regulation,Emotional Cue
30,It’s been emotionally exhausting.,EmotionalSupportExtended,"I understand this is a difficult time. If you need someone to talk to, we can also share support helplines.",N/A,Integration with emotional support,"Grief, burnout"
31,"My sibling passed away, but I’m not the executor. What can I do?",ExecutorLimitations,"""I’m sorry for your loss. Without executor status, your access may be limited. Let me explain how to connect with the legal executor or next of kin.""",Executor Verification Form,Only executors/legal heirs can act,Frustration
32,Can I keep the deceased’s account open to receive payments?,TemporaryAccountHold,"""We understand. You may request a temporary hold to receive pending deposits (e.g., pensions), but the account will eventually need closure.""",Temporary Hold Request,Limited duration; requires documentation,Practicality
33,What if the death certificate is from another country?,ForeignDocumentHandling,"""We accept foreign death certificates but may require translation or apostille. Let me guide you through the process.""",International Document Submission,Compliance with local laws,Confusion
34,How do I handle recurring payments from the deceased’s account?,RecurringPayments,"""We’ll stop automatic payments once the account is frozen. You may need to notify payees separately—I can help with templates.""",Payment Cancellation Form,Bank halts transactions post-notification,Overwhelmed
35,The deceased had a safe deposit box. How do I access it?,SafeDepositAccess,"""You’ll need proof of executor status or court order. Let’s review the steps to schedule a supervised inventory.""",Safe Deposit Box Request,Restricted access for security,Urgency
36,Can I use the deceased’s funds to pay for funeral costs?,FuneralExpenses,"""In some cases, yes—if you’re the executor or next of kin. We can release funds with an invoice and death certificate.""",Funeral Expenses Release,Subject to estate approval,Stress
37,What if I disagree with how the estate is being handled?,EstateDispute,"""I’m sorry you’re facing this. You may need legal advice. Meanwhile, I can share the bank’s dispute resolution process.""",Dispute Escalation Form,Bank follows court/probate orders,Anger
38,The deceased had investments. What happens to them?,InvestmentHandling,"""Investments are part of the estate. We’ll help freeze or transfer them once documents are submitted.""",Investment Review Form,Requires probate for transfer,Confusion
39,Can I get a copy of old bank statements?,StatementRequest,"""Yes, we can provide past statements for estate purposes. Let me verify your authority to request them.""",Statement Retrieval Form,GDPR-compliant access,Need for clarity
40,I’m the sole heir. Why is this so complicated?,SoleHeirFrustration,"""I hear your frustration. Even as the sole heir, banks must follow legal steps to protect the estate. Let’s simplify this.""",Heir Confirmation Form,Verification prevents fraud,Impatience
41,What if the deceased owed taxes?,TaxDebtQuery,"""Tax debts are settled by the estate. You’re not personally liable unless you co-signed. Let’s connect you to tax advisors.""",Tax Liability Form,Estate clears debts before distribution,Anxiety
42,Can I set up a memorial fund with their account?,MemorialFund,"""That’s a thoughtful idea. We can help transfer remaining funds to a memorial account or charity of your choice.""",Memorial Fund Setup,Requires beneficiary consent,Reflection
43,How do I notify credit agencies about the death?,CreditAgencyNotification,"""We can report it to credit bureaus on your behalf to prevent identity issues. Let me start that process.""",Credit Freeze Request,Standard fraud prevention,Relief
44,The deceased was divorced. Does the ex-spouse have any rights?,ExSpouseClaim,"""Unless specified in a will or court order, ex-spouses typically have no claim. Let’s verify the account details.""",Legal Heir Verification,Follows probate law,Concern
45,I’m abroad. Can I handle this remotely?,RemoteHandling,"""Yes, most steps can be done online or by mail. I’ll guide you through international document requirements.""",Remote Assistance Form,Digital verification options,Isolation
46,What if the deceased had unpaid loans?,UnpaidLoanQuery,"""Loans are settled by the estate. If assets don’t cover it, the debt may be written off. Let’s review the details.""",Loan Settlement Form,No familial liability,Worry
47,Can I keep the deceased’s credit card for emergencies?,CreditCardRetention,"""No, cards must be cancelled to prevent fraud. But I can help you explore emergency options in your name.""",Card Destruction Confirmation,Policy prohibits post-death use,Desperation
48,How do I handle their business accounts?,BusinessAccountHandling,"""Business accounts require additional steps, like proof of authority to act. Let’s connect you to our business team.""",Business Succession Form,Separate legal entity rules,Overwhelmed
49,The deceased had a trust. What now?,TrustHandling,"""Trusts bypass probate. Share the trust documents, and we’ll follow the trustee’s instructions.""",Trust Verification Form,Trustee has authority,Relief
50,I’m too overwhelmed to continue today.,PauseProcess,"""It’s okay to take a break. Your progress is saved. Reach out whenever you’re ready to continue.""",N/A,Compassionate pause,Burnout
